from,to,flight_time,amount_of_money
LHR,DXB,7h 15m,$887.27
LHR,AUH,7h 15m,$783.83
LHR,DOH,6h 55m,$723.77
LHR,IST,3h 40m,$458.32
LHR,SVO,3h 40m,$464.43
LHR,CAI,4h 55m,$471.04
LHR,JNB,11h 25m,$993.88
LHR,NBO,8h 45m,$892.10
LHR,ADD,7h 40m,$786.18
LHR,DEL,8h 40m,$892.18
LHR,BOM,9h 15m,$1042.77
LHR,NRT,12h,$1315.25
LHR,HKG,12h 5m,$1466.80
LHR,SIN,13h 35m,$1171.44
LHR,BKK,12h,$1186.45
LHR,KUL,13h 15m,$1268.23
LHR,SYD,20h 45m,$2380.11
LHR,MEL,20h 40m,$1879.86
LHR,ICN,11h 10m,$1013.86
LHR,PVG,11h 35m,$1170.01
LHR,PEK,10h 20m,$1036.03
LHR,GRU,11h 50m,$1115.84
CDG,AMS,1h 15m,$155.64
CDG,FRA,1h 15m,$206.57
CDG,MAD,2h,$243.28
CDG,BCN,7h 20m,$881.41
CDG,FCO,2h,$257.97
CDG,MUC,1h 35m,$169.69
CDG,ZRH,1h 20m,$215.48
CDG,VIE,2h,$277.01
CDG,CPH,1h 55m,$285.20
CDG,ARN,2h 35m,$353.16
CDG,ATH,3h 15m,$418.64
CDG,LIS,2h 30m,$258.20
CDG,DUB,1h 40m,$215.49
CDG,DXB,6h 55m,$651.35
CDG,IST,3h 20m,$367.31
CDG,CAI,4h 30m,$413.27
CDG,JNB,11h,$1082.82
CDG,DEL,8h 30m,$1047.89
CDG,BOM,9h,$850.23
CDG,NRT,12h 10m,$1382.49
CDG,HKG,12h,$1212.58
CDG,SIN,13h 20m,$1324.69
CDG,PVG,11h 40m,$1404.72
CDG,PEK,10h 25m,$1274.27
CDG,ICN,11h 15m,$1181.68
CDG,SYD,20h 40m,$2256.42
CDG,GRU,11h 50m,$1052.84
CDG,BOG,10h 55m,$1037.36
AMS,FRA,1h 10m,$198.39
AMS,MAD,2h 25m,$303.34
AMS,FCO,2h 15m,$280.21
AMS,MUC,1h 30m,$221.85
AMS,ZRH,1h 25m,$162.68
AMS,VIE,1h 50m,$244.41
AMS,CPH,1h 30m,$199.37
AMS,ARN,2h 5m,$293.89
AMS,HEL,2h 30m,$262.34
AMS,OSL,1h 50m,$278.40
AMS,WAW,2h,$212.68
AMS,IST,3h 20m,$333.00
AMS,DXB,6h 50m,$749.15
AMS,DEL,8h 15m,$918.52
AMS,BOM,8h 50m,$825.62
AMS,SIN,13h 5m,$1146.27
AMS,HKG,11h 40m,$1375.24
AMS,NRT,11h 40m,$1086.03
AMS,ICN,10h 50m,$1153.90
AMS,SYD,20h 20m,$2143.31
AMS,GRU,12h 15m,$1216.38
FRA,MAD,2h 25m,$299.29
FRA,FCO,1h 50m,$238.72
FRA,MUC,1h 5m,$187.13
FRA,ZRH,1h 5m,$141.15
FRA,VIE,1h 30m,$213.92
FRA,CPH,1h 30m,$184.04
FRA,ARN,2h 10m,$256.64
FRA,IST,2h 55m,$360.38
FRA,DXB,6h 25m,$633.17
FRA,DOH,6h 10m,$609.93
FRA,DEL,7h 55m,$912.92
FRA,BOM,8h 30m,$740.62
FRA,NRT,11h 45m,$1188.60
FRA,HKG,11h 30m,$1407.93
FRA,SIN,12h 50m,$1561.45
FRA,BKK,11h 20m,$975.90
FRA,PVG,11h 10m,$1023.50
FRA,PEK,9h 55m,$933.83
FRA,ICN,10h 50m,$1296.43
FRA,SYD,20h 10m,$2326.08
FRA,GRU,12h 15m,$1439.41
FRA,JNB,11h,$1073.55
FRA,CAI,4h 10m,$403.03
MAD,FCO,2h 20m,$315.09
MAD,MUC,2h 30m,$321.90
MAD,LIS,1h 20m,$193.21
MAD,ATH,3h 30m,$474.93
MAD,IST,3h 55m,$463.76
MAD,DXB,7h 25m,$632.50
MAD,GRU,10h 35m,$1225.94
MAD,BOG,10h 10m,$973.11
MAD,LIM,11h 55m,$1302.67
MAD,SCL,13h 20m,$1592.23
MAD,EZE,12h 35m,$1111.17
BCN,FCO,8h 35m,$761.19
BCN,MUC,8h 5m,$723.30
BCN,ZRH,7h 55m,$846.62
BCN,LIS,6h 45m,$655.87
BCN,ATH,9h 50m,$1056.48
BCN,IST,9h 55m,$1114.75
BCN,GRU,9h 30m,$876.48
FCO,MUC,1h 35m,$221.02
FCO,ZRH,1h 35m,$187.56
FCO,VIE,1h 40m,$215.11
FCO,ATH,2h,$290.30
FCO,IST,2h 20m,$322.09
FCO,DXB,5h 50m,$530.21
FCO,CAI,3h 15m,$363.51
FCO,JNB,9h 50m,$932.34
FCO,DEL,7h 45m,$657.87
FCO,BOM,8h,$928.25
MUC,ZRH,1h 5m,$164.31
MUC,VIE,1h 10m,$151.89
MUC,CPH,1h 40m,$239.72
MUC,ARN,2h 15m,$283.63
MUC,IST,2h 35m,$296.38
MUC,DXB,6h 5m,$531.14
MUC,DEL,7h 40m,$676.79
MUC,BOM,8h 10m,$979.82
MUC,NRT,11h 45m,$1393.73
MUC,PEK,9h 50m,$1035.57
MUC,ICN,10h 45m,$1248.92
ZRH,VIE,1h 25m,$201.85
ZRH,IST,2h 45m,$283.19
ZRH,DXB,6h 20m,$580.64
ZRH,JNB,10h 40m,$1018.09
ZRH,SIN,12h 50m,$1516.39
VIE,IST,2h 10m,$297.63
VIE,DXB,5h 45m,$698.08
VIE,DEL,7h 15m,$883.13
VIE,BOM,7h 45m,$724.29
CPH,ARN,1h 25m,$171.10
CPH,HEL,1h 45m,$194.38
CPH,OSL,1h 20m,$205.58
CPH,IST,3h 5m,$406.44
CPH,DXB,6h 25m,$658.18
ARN,HEL,1h 15m,$179.94
ARN,OSL,1h 10m,$147.99
ARN,DXB,6h 20m,$789.82
HEL,OSL,1h 40m,$243.93
HEL,DXB,6h 5m,$768.00
HEL,NRT,9h 55m,$1152.21
HEL,PEK,8h 10m,$978.82
IST,DXB,4h 20m,$389.64
IST,AUH,4h 20m,$519.97
IST,DOH,4h,$415.89
IST,RUH,3h 40m,$476.95
IST,KWI,3h 20m,$422.74
IST,CAI,2h 15m,$309.40
IST,NBO,6h 25m,$761.77
IST,ADD,5h 5m,$506.68
IST,JNB,9h 35m,$1100.20
IST,DEL,6h 5m,$555.83
IST,BOM,6h 25m,$781.44
IST,NRT,11h 20m,$1322.17
IST,PEK,9h 5m,$842.06
IST,ICN,10h 5m,$1166.85
IST,BKK,9h 35m,$978.66
IST,SIN,10h 55m,$1044.81
IST,KUL,10h 35m,$1217.96
IST,SVO,2h 50m,$294.33
IST,LIS,4h 30m,$406.78
IST,ATH,1h 25m,$167.64
DXB,AUH,0h 55m,$130.29
DXB,DOH,1h 10m,$193.17
DXB,RUH,1h 45m,$267.18
DXB,KWI,1h 45m,$205.73
DXB,CAI,3h 35m,$426.81
DXB,JNB,8h 15m,$833.59
DXB,NBO,4h 55m,$635.54
DXB,ADD,3h 40m,$422.69
DXB,LOS,7h 40m,$942.01
DXB,DEL,3h 20m,$322.75
DXB,BOM,3h,$410.88
DXB,MAA,4h 10m,$407.95
DXB,BLR,3h 55m,$514.34
DXB,HYD,3h 45m,$382.57
DXB,NRT,10h 10m,$891.35
DXB,HKG,7h 40m,$789.58
DXB,SIN,7h 35m,$871.06
DXB,BKK,6h 30m,$643.21
DXB,KUL,7h 15m,$797.96
DXB,CGK,8h 25m,$886.03
DXB,MNL,8h 50m,$883.24
DXB,PVG,8h 20m,$896.20
DXB,PEK,7h 35m,$726.41
DXB,ICN,8h 40m,$974.94
DXB,SYD,14h 55m,$1229.08
DXB,MEL,14h 25m,$1709.45
DXB,SVO,5h 5m,$562.82
AUH,DOH,1h 5m,$176.70
AUH,DEL,3h 25m,$424.84
AUH,BOM,3h 5m,$376.59
AUH,SIN,7h 40m,$764.13
AUH,BKK,6h 35m,$584.97
AUH,KUL,7h 20m,$819.72
AUH,NRT,10h 15m,$991.67
AUH,SYD,14h 55m,$1411.40
DOH,RUH,1h 20m,$207.52
DOH,CAI,3h 10m,$394.09
DOH,JNB,8h 5m,$782.58
DOH,NBO,4h 40m,$475.95
DOH,ADD,3h 25m,$373.81
DOH,DEL,3h 45m,$404.76
DOH,BOM,3h 25m,$360.20
DOH,NRT,10h 30m,$930.44
DOH,HKG,8h 10m,$826.78
DOH,SIN,8h 5m,$984.27
DOH,BKK,6h 55m,$785.52
DOH,KUL,7h 40m,$932.59
DOH,SYD,15h 20m,$1623.76
DOH,SVO,5h,$500.90
DOH,LOS,7h 15m,$778.39
RUH,CAI,2h 40m,$252.74
RUH,DEL,4h 20m,$438.05
RUH,BOM,4h,$434.04
RUH,JNB,7h 50m,$846.01
CAI,JNB,8h 5m,$899.68
CAI,NBO,4h 55m,$528.28
CAI,ADD,3h 40m,$402.62
CAI,LOS,5h 20m,$516.81
CAI,DEL,5h 55m,$628.05
CAI,BOM,5h 50m,$723.29
CAI,SVO,4h 10m,$514.61
JNB,NBO,4h 10m,$404.16
JNB,ADD,5h 30m,$501.61
JNB,LOS,6h 5m,$652.35
JNB,CPT,2h 15m,$286.68
JNB,SYD,13h 45m,$1311.40
JNB,MEL,12h 55m,$1477.73
JNB,SIN,10h 55m,$1233.46
JNB,HKG,13h 20m,$1448.40
JNB,BOM,8h 55m,$832.74
JNB,DEL,10h 10m,$930.80
NBO,ADD,2h 5m,$213.22
NBO,LOS,5h 15m,$513.30
NBO,BOM,6h 5m,$643.39
NBO,DEL,7h 5m,$851.61
NBO,SIN,9h 30m,$827.17
ADD,LOS,5h 20m,$559.48
ADD,BOM,5h 15m,$597.00
ADD,DEL,6h 5m,$575.86
CPT,JNB,2h 15m,$293.28
CPT,LOS,6h 20m,$677.47
CPT,DOH,9h 30m,$890.55
SVO,DEL,5h 55m,$667.51
SVO,PEK,7h 35m,$645.62
SVO,NRT,9h 35m,$1087.99
SVO,ICN,8h 30m,$977.89
SVO,BKK,9h 5m,$804.63
SVO,SIN,10h 40m,$1070.67
SVO,LED,1h 25m,$171.11
LED,SVO,1h 25m,$229.28
DEL,BOM,2h 5m,$259.09
DEL,MAA,2h 50m,$272.82
DEL,BLR,2h 45m,$292.47
DEL,HYD,2h 15m,$308.29
DEL,NRT,7h 40m,$795.20
DEL,HKG,5h 10m,$622.94
DEL,SIN,5h 40m,$645.06
DEL,BKK,4h 15m,$553.15
DEL,KUL,5h 20m,$594.58
DEL,SYD,13h,$1559.47
DEL,PVG,5h 45m,$714.44
DEL,PEK,5h 15m,$590.50
DEL,ICN,6h 15m,$718.76
BOM,MAA,2h,$245.90
BOM,BLR,1h 45m,$250.37
BOM,HYD,1h 30m,$201.53
BOM,SIN,5h 20m,$666.62
BOM,BKK,4h 20m,$520.25
BOM,KUL,5h,$539.39
BOM,HKG,5h 45m,$562.64
BOM,NRT,8h 45m,$822.28
BOM,SYD,12h 40m,$1367.54
BOM,PVG,6h 40m,$782.85
BOM,PEK,6h 20m,$681.96
MAA,BLR,1h 5m,$164.64
MAA,HYD,1h 20m,$168.84
MAA,SIN,4h 10m,$389.12
MAA,BKK,3h 20m,$351.85
MAA,KUL,3h 50m,$392.15
BLR,HYD,1h 15m,$166.41
BLR,SIN,4h 30m,$500.77
BLR,BKK,3h 40m,$356.79
BLR,KUL,4h 10m,$412.06
HYD,SIN,4h 40m,$545.44
HYD,BKK,3h 35m,$437.75
NRT,HND,0h 50m,$110.93
NRT,ICN,2h 15m,$261.76
NRT,HKG,4h 15m,$475.80
NRT,PVG,2h 50m,$322.77
NRT,PEK,3h 15m,$330.88
NRT,SIN,7h 5m,$722.25
NRT,BKK,6h 15m,$765.18
NRT,KUL,7h 5m,$774.89
NRT,CGK,7h 35m,$860.14
NRT,MNL,4h 20m,$543.51
NRT,SYD,9h 55m,$1134.98
NRT,MEL,10h 20m,$1021.90
NRT,BNE,9h 10m,$772.51
NRT,AKL,11h 10m,$1081.89
HND,ICN,2h 10m,$291.41
HND,HKG,4h 10m,$523.30
HND,PVG,2h 45m,$383.05
HND,PEK,3h 10m,$356.15
HND,SIN,7h,$807.69
HND,BKK,6h 10m,$667.47
HND,SYD,9h 55m,$1069.43
ICN,HKG,3h 10m,$326.04
ICN,PVG,1h 40m,$197.22
ICN,PEK,1h 50m,$224.40
ICN,SIN,6h 10m,$541.83
ICN,BKK,5h 5m,$515.14
ICN,KUL,6h 10m,$703.57
ICN,CGK,6h 55m,$707.13
ICN,MNL,3h 50m,$372.68
ICN,SYD,10h 35m,$1075.98
ICN,MEL,10h 50m,$957.04
ICN,BNE,9h 50m,$1066.16
ICN,AKL,12h 5m,$1017.59
HKG,PVG,2h 15m,$260.08
HKG,PEK,3h 5m,$364.85
HKG,SIN,3h 45m,$346.25
HKG,BKK,2h 45m,$338.49
HKG,KUL,3h 45m,$361.49
HKG,CGK,4h 35m,$495.09
HKG,MNL,2h 5m,$214.05
HKG,SYD,9h 25m,$934.83
HKG,MEL,9h 30m,$874.18
PVG,PEK,2h,$236.22
PVG,SIN,5h 15m,$621.87
PVG,BKK,4h 10m,$439.29
PVG,KUL,5h 15m,$618.73
PVG,NRT,2h 50m,$375.63
PVG,SYD,10h,$936.84
PEK,SIN,6h,$542.03
PEK,BKK,4h 40m,$415.86
PEK,KUL,5h 55m,$645.37
PEK,NRT,3h 15m,$443.41
PEK,SYD,11h 15m,$1094.94
SIN,BKK,2h 25m,$306.36
SIN,KUL,1h 5m,$177.54
SIN,CGK,1h 45m,$241.07
SIN,MNL,3h 30m,$439.05
SIN,SYD,8h 10m,$998.97
SIN,MEL,7h 50m,$728.53
SIN,BNE,8h,$682.83
SIN,AKL,10h 40m,$951.86
BKK,KUL,2h 10m,$229.08
BKK,CGK,3h 25m,$416.70
BKK,MNL,3h 20m,$387.84
BKK,SYD,9h 35m,$887.22
BKK,DEL,4h 15m,$501.90
KUL,CGK,2h 5m,$282.47
KUL,MNL,3h 40m,$361.24
KUL,SYD,8h 30m,$922.78
KUL,MEL,8h 10m,$936.12
CGK,SYD,7h 15m,$651.33
CGK,MEL,6h 50m,$816.30
MNL,SYD,8h 5m,$999.73
SYD,MEL,1h 35m,$176.49
SYD,BNE,1h 40m,$174.47
SYD,AKL,3h 15m,$348.53
MEL,BNE,2h 20m,$304.75
MEL,AKL,3h 50m,$505.80
BNE,AKL,3h 25m,$375.72
GRU,GIG,1h 10m,$178.50
GRU,BOG,5h 50m,$525.55
GRU,LIM,4h 50m,$565.61
GRU,SCL,3h 50m,$448.67
GRU,EZE,2h 45m,$275.64
GRU,MEX,9h 30m,$1086.72
GIG,BOG,6h 5m,$737.36
GIG,EZE,3h 5m,$370.22
GIG,SCL,4h 10m,$397.84
BOG,LIM,3h,$407.52
BOG,MEX,4h 25m,$543.70
BOG,SCL,5h 45m,$581.04
LIM,SCL,3h 40m,$399.15
LIM,EZE,4h 25m,$466.00
LIM,MEX,5h 45m,$617.70
SCL,EZE,2h 5m,$241.89
EZE,SCL,2h 5m,$291.75
MEX,BOG,4h 25m,$551.13
MEX,LIM,5h 45m,$523.68
MEX,SCL,8h 30m,$1043.77
MEX,EZE,9h 25m,$1031.04
LGW,AMS,1h 10m,$189.18
LGW,CDG,1h 5m,$174.30
LGW,BCN,7h 5m,$726.81
LGW,MAD,2h 10m,$289.79
LGW,FCO,2h 25m,$339.48
MAN,DXB,7h 25m,$710.94
MAN,NRT,11h 55m,$1363.26
MAN,IST,3h 55m,$440.34
WAW,IST,2h 20m,$279.90
WAW,DXB,5h 40m,$591.12
PRG,IST,2h 30m,$324.24
PRG,DXB,6h,$584.96
BUD,IST,1h 55m,$276.20
BUD,DXB,5h 25m,$663.17
ATH,IST,1h 25m,$159.94
ATH,DXB,4h 35m,$577.16
ATH,CAI,2h 5m,$229.11
LIS,GRU,10h 5m,$1028.45
LIS,BOG,9h 35m,$1037.24
LIS,MAD,1h 20m,$176.78
DUB,LHR,1h 15m,$145.95
DUB,CDG,1h 40m,$245.65
DUB,AMS,1h 35m,$186.87
LOS,DXB,7h 40m,$718.48
LOS,IST,6h 10m,$732.46
